DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
7/10/2020,381.34,383.92,378.8207,383.68,22564330,0,1,381.34,383.92,378.8207,383.68,22564330,1
7/9/2020,385.05,385.27,378.69,382.73,31410652,0,1,385.05,385.27,378.69,382.73,31410652,1
7/8/2020,376.72,381.5,376.36,381.37,29272970,0,1,376.72,381.5,376.36,381.37,29272970,1
7/7/2020,375.41,378.62,372.23,372.69,28106114,0,1,375.41,378.62,372.23,372.69,28106114,1
7/6/2020,370,375.78,369.87,373.85,29663913,0,1,370,375.78,369.87,373.85,29663913,1
7/2/2020,367.85,370.47,363.64,364.11,28510367,0,1,367.85,370.47,363.64,364.11,28510367,1
7/1/2020,365.12,367.36,363.91,364.11,27684309,0,1,365.12,367.36,363.91,364.11,27684309,1
6/30/2020,360.08,365.98,360,364.8,35055821,0,1,360.08,365.98,360,364.8,35055821,1
6/29/2020,353.25,362.1736,351.28,361.78,32661519,0,1,353.25,362.1736,351.28,361.78,32661519,1
6/26/2020,364.41,365.32,353.02,353.63,51314211,0,1,364.41,365.32,353.02,353.63,51314211,1
6/25/2020,360.7,365,357.57,364.84,34380628,0,1,360.7,365,357.57,364.84,34380628,1
6/24/2020,365,368.79,358.52,360.06,48155849,0,1,365,368.79,358.52,360.06,48155849,1
6/23/2020,364,372.38,362.2701,366.53,53038869,0,1,364,372.38,362.2701,366.53,53038869,1
6/22/2020,351.34,359.46,351.15,358.87,33861316,0,1,351.34,359.46,351.15,358.87,33861316,1
6/19/2020,354.635,356.56,345.15,349.72,66118952,0,1,354.635,356.56,345.15,349.72,66118952,1
6/18/2020,351.41,353.45,349.22,351.73,24205096,0,1,351.41,353.45,349.22,351.73,24205096,1
6/17/2020,355.15,355.4,351.09,351.59,28601626,0,1,355.15,355.4,351.09,351.59,28601626,1
6/16/2020,351.46,353.2,344.72,352.08,41357182,0,1,351.46,353.2,344.72,352.08,41357182,1
6/15/2020,333.25,345.68,332.58,342.99,34702230,0,1,333.25,345.68,332.58,342.99,34702230,1
6/12/2020,344.72,347.8,334.2233,338.8,50036513,0,1,344.72,347.8,334.2233,338.8,50036513,1
6/11/2020,349.31,351.06,335.48,335.9,50415613,0,1,349.31,351.06,335.48,335.9,50415613,1
6/10/2020,347.9,354.77,346.09,352.84,41662938,0,1,347.9,354.77,346.09,352.84,41662938,1
6/9/2020,332.14,345.61,332.01,343.99,36928091,0,1,332.14,345.61,332.01,343.99,36928091,1
6/8/2020,330.25,333.6,327.32,333.46,23913634,0,1,330.25,333.6,327.32,333.46,23913634,1
6/5/2020,323.35,331.75,323.23,331.5,34312550,0,1,323.35,331.75,323.23,331.5,34312550,1
6/4/2020,324.39,325.62,320.78,322.32,21890091,0,1,324.39,325.62,320.78,322.32,21890091,1
6/3/2020,324.66,326.2,322.3,325.12,26122804,0,1,324.66,326.2,322.3,325.12,26122804,1
6/2/2020,320.745,323.44,318.93,323.34,21910704,0,1,320.745,323.44,318.93,323.34,21910704,1
6/1/2020,317.75,322.35,317.21,321.85,20254653,0,1,317.75,322.35,317.21,321.85,20254653,1
5/29/2020,319.25,321.15,316.47,317.94,38399532,0,1,319.25,321.15,316.47,317.94,38399532,1
5/28/2020,316.77,323.44,315.63,318.25,33449103,0,1,316.77,323.44,315.63,318.25,33449103,1
5/27/2020,316.14,318.71,313.09,318.11,28236274,0,1,316.14,318.71,313.09,318.11,28236274,1
5/26/2020,323.5,324.24,316.5,316.73,31380454,0,1,323.5,324.24,316.5,316.73,31380454,1
5/22/2020,315.77,319.23,315.35,318.89,20450754,0,1,315.77,319.23,315.35,318.89,20450754,1
5/21/2020,318.66,320.89,315.87,316.85,25672211,0,1,318.66,320.89,315.87,316.85,25672211,1
5/20/2020,316.68,319.52,316.2,319.23,27876215,0,1,316.68,319.52,316.2,319.23,27876215,1
5/19/2020,315.03,318.52,313.01,313.14,25432385,0,1,315.03,318.52,313.01,313.14,25432385,1
5/18/2020,313.17,316.5,310.3241,314.96,33843125,0,1,313.17,316.5,310.3241,314.96,33843125,1
5/15/2020,300.35,307.9,300.21,307.71,41587094,0,1,300.35,307.9,300.21,307.71,41587094,1
5/14/2020,304.51,309.79,301.53,309.54,39732269,0,1,304.51,309.79,301.53,309.54,39732269,1
5/13/2020,312.15,315.95,303.21,307.65,50155639,0,1,312.15,315.95,303.21,307.65,50155639,1
5/12/2020,317.83,319.688,310.91,311.41,40575263,0,1,317.83,319.688,310.91,311.41,40575263,1
5/11/2020,308.1,317.05,307.24,315.01,36486561,0,1,308.1,317.05,307.24,315.01,36486561,1
5/8/2020,305.64,310.35,304.29,310.13,33511985,0.82,1,305.64,310.35,304.29,310.13,33511985,0.997300323
5/7/2020,303.22,305.17,301.97,303.74,28803764,0,1,302.4014038,304.3461395,301.1547784,302.92,28803764,1
5/6/2020,300.46,303.24,298.87,300.63,35583438,0,1,299.6488549,302.4213498,298.0631474,299.818396,35583438,1
5/5/2020,295.06,301,294.46,297.56,36937795,0,1,294.2634332,300.1873971,293.665053,296.756684,36937795,1
5/4/2020,289.17,293.69,286.3172,293.16,33391986,0,1,288.3893343,292.8971318,285.5442359,292.3685626,33391986,1
5/1/2020,286.25,299,285.85,289.07,60154175,0,1,285.4772174,298.1927965,285.0782972,288.2896043,60154175,1
4/30/2020,289.96,294.53,288.35,293.8,45765968,0,1,289.1772016,293.734864,287.571548,293.0068348,45765968,1
4/29/2020,284.73,289.67,283.89,287.73,34320204,0,1,283.9613209,288.8879845,283.1235886,286.9532218,34320204,1
4/28/2020,285.08,285.83,278.2,278.58,28001187,0,1,284.310376,285.0583512,277.4489498,277.8279239,28001187,1
4/27/2020,281.8,284.54,279.95,283.17,29271893,0,1,281.0392309,283.7718338,279.1942253,282.4055324,29271893,1
4/24/2020,277.2,283.01,277,282.97,31627183,0,1,276.4516494,282.2459643,276.2521894,282.2060723,31627183,1
4/23/2020,275.87,281.75,274.87,275.03,31203582,0,1,275.12524,280.9893659,274.1279397,274.2875077,31203582,1
4/22/2020,273.61,277.9,272.2,276.1,29264342,0,1,272.8713413,277.1497597,271.4651478,275.3546191,29264342,1
4/21/2020,276.28,277.25,265.43,268.37,45247893,0,1,275.5341331,276.5015145,264.7134246,267.6454876,45247893,1
4/20/2020,277.95,281.68,276.85,276.93,32503750,0,1,277.1996247,280.9195549,276.1025943,276.1823783,32503750,1
4/17/2020,284.69,286.945,276.86,282.8,53812478,0,1,283.9214289,286.1703411,276.1125673,282.0365312,53812478,1
4/16/2020,287.38,288.1975,282.3502,286.69,39281290,0,1,286.6041667,287.4194597,281.5879456,285.9160295,39281290,1
4/15/2020,282.4,286.33,280.63,284.43,32788641,0,1,281.6376111,285.5570014,279.8723895,283.6621308,32788641,1
4/14/2020,280,288.25,278.05,287.05,48748672,0,1,279.2440903,287.471818,277.2993547,286.2750576,48748672,1
4/13/2020,268.31,273.7,265.83,273.25,32755731,0,1,267.5856496,272.9610983,265.1123448,272.5123132,32755731,1
4/9/2020,268.7,270.07,264.7,267.99,40529123,0,1,267.9745967,269.3408981,263.9853954,267.2665135,40529123,1
4/8/2020,262.74,267.37,261.23,266.07,42223821,0,1,262.0306868,266.6481873,260.5247633,265.3516968,42223821,1
4/7/2020,270.8,271.7,259,259.43,50721831,0,1,270.0689274,270.9664977,258.3007836,258.7296227,50721831,1
4/6/2020,250.9,263.11,249.38,262.47,50455071,0,1,250.222651,262.3996879,248.7067545,261.7614157,50455071,1
4/3/2020,242.8,245.7,238.9741,241.41,32470017,0,1,242.1445183,245.0366893,238.328947,240.7582709,32470017,1
4/2/2020,240.34,245.15,236.9,244.93,41483493,0,1,239.6911595,244.4881741,236.2604464,244.268768,41483493,1
4/1/2020,246.5,248.72,239.13,240.91,44054638,0,1,245.8345295,248.0485362,238.4844262,240.2596207,44054638,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
